Song,Artist
Song,Artist
The Voidz, ALieNNatioN, 
Daft Punk, Get Lucky, 
Radiohead, My Iron Lung, 
Justin Timberlake, Mirrors (Radio Edit), 
Release, Jatt Vailly, 
Drake, First Person Shooter, 
Drake, 8am in Charlotte, 
The Strokes, 80's Comedown Machine, 
Interpol, Stella was a diver and she was always down, 
Justin Bieber, Beauty and a Beat, 
Interpol, Slow Hands, 
Interpol, Obstacle 2, 
Kanye West, Homecoming, 
Drake, Headlines, 
Burna Boy, City Boys, 
The Voidz, Flexorcist, 
Drake, Mob Ties, 
John Frusciante, Heaven, 
The Smile, Skrting On The Surface, 
LP, Lost on You (Live at Harvard and Stone), 
Justin Timberlake, What Goes Around...Comes Around (Radio Edit), 
Bruno Mars, Locked out of Heaven, 
Timbaland, The Way I Are, 
Justin Timberlake, Rock Your Body, 
Drake, Emotionless, 
Drake, Fair Trade, 
Interpol, Everything Is Wrong, 
Radiohead, Optimistic, 
Drake, Blem, 
Fetty Wap, superhuman, 
Fetty Wap, Undeniable, 
Tory Lanez, The Color Violet, 
Lady Gaga, Telephone, 
Lady Gaga, Alejandro, 
Ne, Closer, 
Interpol, Rest My Chemistry, 
The Fray, You Found Me, 
Tame Impala, Borderline, 
Tame Impala, Breathe Deeper, 
Drake, Search & Rescue, 
Pidji, Tame Impala - Let It Happen (Shortened), 
The Rap Chair, Kanye West - Runaway (Shortened), 
Drake, Virginia Beach, 
Justin Timberlake, Cry Me a River, 
Radiohead, How to Disappear Completely, 
Taio Cruz, Break Your Heart, 
Kanye West, Wolves, 
The Fray, Look After You, 
Nickelback, Savin' Me, 
Nickelback, How You Remind Me, 
Drake, Teenage Fever, 
Cage The Elephant, Come A Little Closer, 
Radiohead, Street Spirit (Fade Out), 
The Goo Goo Dolls, Iris, 
John Frusciante, A Doubt, 
AP Dhillon, Real Talk, 
Drake, Stories About My Brother, 
Rihanna, S&M, 
Interpol, The Heinrich Maneuver, 
Drake, Teenage Fever, 
RAP CAPSULE, Drake - Yves Slatt Laurent (Meek Mill Diss), 
Kanye West, Welcome To Heartbreak, 
Kanye West, Heartless, 
Kanye West, Amazing, 
Kanye West, Love Lockdown, 
The Fray, Over My Head (Cable Car), 
Maroon 5, She Will Be Loved, 
Drake, 6PM In New York, 
Drake, You Broke My Heart, 
Drake, Doing It Wrong, 
Kanye West, Devil In A New Dress, 
Drake, Massive, 
Rick Ross, Stay Schemin, 
Drake, Find Your Love, 
Drake, 5 Am in Toronto, 
Drake, War, 
Drake, Red Button, 
Drake, Best I Ever Had, 
J. Cole, H.Y.B., 
Drake, Evil Ways, 
Dave, My 24th Birthday, 
YOUNGxKILLER, Drake "9Am In Dallas" (Thank Me Later), 
Drake, Over My Dead Body, 
Drake, Take Care, 
Drake, Under Ground Kings, 
Drake, We'll Be Fine, 
Drake, Make Me Proud (Album Version NEW), 
Drake, Lord Knows, 
Drake, Practice, 
Drake, Energy, 
Drake, 6 Man, 
Drake, Tuscan Leather, 
Drake, Furthest Thing, 
Drake, From Time, 
Drake, The Language, 
Drake, Pound Cake / Paris Morton Music 2, 
Kanye West, Paranoid, 
Real Estate, Darling, 
Alex Turner, Piledriver waltz, 
Drake, When To Say When, 
Drake, Chicago Freestyle, 
